Name,Address,Rating,Website,Opening Hours,Cuisine Type
Pico de Gallo Food Truck,"3014 Lafayette Rd #3000, Indianapolis, IN 46222, United States",4.5,https://www.facebook.com/peregrino1982/,"Monday: Closed
Tuesday: Closed
Wednesday: 5:00 PM – 1:00 AM
Thursday: 5:00 PM – 1:00 AM
Friday: 5:00 PM – 4:00 AM
Saturday: 5:00 PM – 4:00 AM
Sunday: 5:00 PM – 1:00 AM",Unknown
big Jerry Indy food truck,"8522 Madison Ave, Indianapolis, IN 46227, United States",5.0,null,"Monday: 11:00 AM – 7:00 PM
Tuesday: 11:00 AM – 7:30 PM
Wednesday: 11:00 AM – 7:00 AM
Thursday: 10:30 AM – 7:30 PM
Friday: 10:30 AM – 7:00 PM
Saturday: 11:00 AM – 8:30 PM
Sunday: Closed",Unknown
Mi Lindo Pénjamo - Food Truck,"7910 Michigan Rd, Indianapolis, IN 46268, United States",4.5,https://store.kahero.co/milindopenjamo,"Monday: Closed
Tuesday: 7:30 PM – 12:00 AM
Wednesday: 7:30 PM – 12:00 AM
Thursday: 7:30 PM – 12:00 AM
Friday: 7:30 PM – 12:00 AM
Saturday: Closed
Sunday: Closed",Unknown
ClusterTruck,"729 N Pennsylvania St, Indianapolis, IN 46204, United States",4.8,https://downtown-indy.clustertruck.com/menu?utm_source=google%20my%20business&utm_medium=search%20listing,"Monday: 8:00 AM – 10:00 PM
Tuesday: 8:00 AM – 10:00 PM
Wednesday: 8:00 AM – 10:00 PM
Thursday: 8:00 AM – 10:00 PM
Friday: 8:00 AM – 11:00 PM
Saturday: 10:00 AM – 11:00 PM
Sunday: 10:00 AM – 9:00 PM",Unknown
El Buenavista Food Truck,"5210 English Ave, Indianapolis, IN 46219, United States",5.0,null,"Monday: 1:59 PM – 4:59 AM
Tuesday: 1:59 PM – 4:59 AM
Wednesday: 1:59 PM – 4:59 AM
Thursday: 1:59 PM – 4:59 AM
Friday: 1:59 PM – 4:59 AM
Saturday: 1:59 PM – 4:59 AM
Sunday: 1:59 PM – 4:59 AM",Unknown
The Night Owl Food Truck,"South and, S Meridian St, Indianapolis, IN 46225, United States",5.0,http://mercersnightowl.com/,"Monday: Closed
Tuesday: Closed
Wednesday: Closed
Thursday: 8:30 PM – 2:30 AM
Friday: 8:30 PM – 3:30 AM
Saturday: 8:30 PM – 3:30 AM
Sunday: 6:00 PM – 1:00 AM",Unknown
Super Tacos food truck,"7202 E Washington St, Indianapolis, IN 46219, United States",4.6,null,,Mexican
The Latin Flavor - Food Truck,"9130 E 38th St, Indianapolis, IN 46235, United States",4.1,http://thelatinflavorindy.com/?utm_source=gmb&utm_medium=referral,"Monday: 11:00 AM – 10:00 PM
Tuesday: 11:00 AM – 10:00 PM
Wednesday: 11:00 AM – 10:00 PM
Thursday: 11:00 AM – 11:00 PM
Friday: 11:00 AM – 11:00 PM
Saturday: 11:00 AM – 11:00 PM
Sunday: 11:00 AM – 10:00 PM",Unknown
El Viejon Food Truck,"3612 W 30th St, Indianapolis, IN 46222, United States",1.0,https://www.elviejonfoodtruckindy.com/,"Monday: Closed
Tuesday: 2:30 PM – 1:00 AM
Wednesday: 2:30 PM – 1:00 AM
Thursday: 2:30 PM – 1:00 AM
Friday: 2:30 PM – 4:00 AM
Saturday: 2:30 PM – 4:00 AM
Sunday: 2:30 PM – 12:00 AM",Unknown
Food truck Mil Amores,"5034 E Raymond St, Indianapolis, IN 46203, United States",4.0,null,,Unknown
Taco food truck,"5621 N Parker Ave, Indianapolis, IN 46220, United States",0.0,null,"Monday: 12:00 – 9:00 PM
Tuesday: 12:00 – 10:00 PM
Wednesday: 12:00 – 10:00 PM
Thursday: 12:00 – 11:00 PM
Friday: 12:00 PM – 12:00 AM
Saturday: 5:00 PM – 12:00 AM
Sunday: Closed",Mexican
Dashboard Food Truck & Catering,"299 West Main Street, Greenwood, IN 46142, United States",5.0,http://dashboardfoodtruck.com/,,Unknown
Antojitos Guzman food truck #1,"4853 W 56th St, Indianapolis, IN 46254, United States",3.5,https://antojitosguzmanfoodtruck1.business.site/?utm_source=gmb&utm_medium=referral,"Monday: Closed
Tuesday: Closed
Wednesday: 2:00 – 9:30 PM
Thursday: 2:00 – 9:30 PM
Friday: 2:00 – 9:30 PM
Saturday: 2:00 – 9:30 PM
Sunday: 2:00 – 9:30 PM",Unknown
La marina Maxican Food Truck,"7155 Madison Ave, Indianapolis, IN 46227, United States",4.0,null,,Unknown
FELIX TACOS TRUCK,"3145 W Washington St, Indianapolis, IN 46222, United States",4.5,null,"Monday: 5:00 PM – 12:00 AM
Tuesday: 5:00 PM – 12:00 AM
Wednesday: 5:00 PM – 12:00 AM
Thursday: 5:00 PM – 12:00 AM
Friday: 5:00 PM – 2:00 AM
Saturday: 5:00 PM – 2:00 AM
Sunday: 5:00 PM – 12:00 AM",Mexican
Food Truck Don Luis,"3605 Commercial Dr, Indianapolis, IN 46222, United States",3.0,http://orderfoodtruckdonluis.com/,"Monday: 6:00 PM – 12:00 AM
Tuesday: 6:00 AM – 12:00 AM
Wednesday: Closed
Thursday: 6:00 PM – 12:00 AM
Friday: 6:00 AM – 12:30 AM
Saturday: 6:00 PM – 1:00 AM
Sunday: 6:00 PM – 12:00 AM",Unknown
El Amigo Taqueria Food Truck,"3356 W 16th St, Indianapolis, IN 46222, United States",4.3,null,"Monday: 12:00 PM – 12:00 AM
Tuesday: 12:00 PM – 12:00 AM
Wednesday: 12:00 PM – 12:00 AM
Thursday: 12:00 PM – 12:00 AM
Friday: 12:00 PM – 12:00 AM
Saturday: 12:00 PM – 12:00 AM
Sunday: 12:00 PM – 12:00 AM",Unknown
Taqueria La Autentica Food truck,"8801 E 25th St, Indianapolis, IN 46219, United States",3.0,null,"Monday: 12:00 – 10:00 PM
Tuesday: 12:00 – 10:00 PM
Wednesday: 12:00 – 10:00 PM
Thursday: 12:00 – 10:30 PM
Friday: 12:00 – 11:00 PM
Saturday: 6:00 – 11:00 PM
Sunday: Closed",Unknown
3 Marias Mex Food Truck,"3205 E Washington St, Indianapolis, IN 46201, United States",0.0,null,"Monday: 6:00 – 10:00 PM
Tuesday: 6:00 – 10:00 PM
Wednesday: 6:00 – 10:00 PM
Thursday: 6:00 – 10:00 PM
Friday: Closed
Saturday: 6:00 – 10:00 PM
Sunday: Closed",Unknown
Emergency Taco Truck,"7001 Pendleton Pike, Indianapolis, IN 46226, United States",4.7,null,"Monday: Closed
Tuesday: 3:00 – 10:00 PM
Wednesday: 3:00 – 10:00 PM
Thursday: 3:00 – 10:00 PM
Friday: 3:00 PM – 12:00 AM
Saturday: 3:00 PM – 12:00 AM
Sunday: Closed",Mexican
Oasis Taco Truck,"en el parqueadero de Vision Hair salon, 7085 N Michigan Rd, Indianapolis, IN 46268, United States",5.0,https://oasis-taco-truck.business.site/?utm_source=gmb&utm_medium=referral,"Monday: 7:00 – 11:00 PM
Tuesday: Closed
Wednesday: 8:30 – 11:00 PM
Thursday: 8:00 – 11:30 PM
Friday: Closed
Saturday: 8:00 PM – 12:00 AM
Sunday: Closed",Mexican
Tha Corn Man,"2442 Central Ave, Indianapolis, IN 46205, United States",3.8,https://tha-corn-man.ueniweb.com/?utm_campaign=gmb,"Monday: 3:00 – 9:00 PM
Tuesday: 3:00 – 9:00 PM
Wednesday: 3:00 – 9:00 PM
Thursday: 3:00 – 9:00 PM
Friday: 3:00 – 9:00 PM
Saturday: 3:00 – 9:00 PM
Sunday: 3:00 – 9:00 PM",Unknown
Wild Boar BBQ Food Truck,"6129 E Washington St, Indianapolis, IN 46219, United States",5.0,http://wildboarbbq.com/,,BBQ
King gyros food truck,"4585 S Harding St, Indianapolis, IN 46217, United States",4.7,null,"Monday: 10:30 AM – 1:00 AM
Tuesday: 10:30 AM – 1:00 AM
Wednesday: 10:30 AM – 1:00 AM
Thursday: 10:30 AM – 1:00 AM
Friday: 10:30 AM – 1:00 AM
Saturday: 10:30 AM – 1:00 AM
Sunday: 10:30 AM – 12:00 AM",Unknown
Karma Kitchen Food Truck,"210 Longwood Ave, Anderson, IN 46011, United States",4.4,null,,Unknown
KG Slider Station,"3748 Lafayette Rd, Indianapolis, IN 46222, United States",5.0,http://www.keysgourmet.com/#!contact-us/clx0,"Monday: 12:00 – 8:00 PM
Tuesday: 12:00 – 8:00 PM
Wednesday: 12:00 – 8:00 PM
Thursday: 12:00 – 8:00 PM
Friday: 11:00 AM – 10:00 PM
Saturday: 11:00 AM – 10:00 PM
Sunday: 12:00 – 8:00 PM",Unknown
The Grub House,"1953 N College Ave, Indianapolis, IN 46202, United States",4.1,http://grubhouseindy.com/,"Monday: Closed
Tuesday: Closed
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: Closed",Unknown
Tortas Guicho Food Truck,"S. East St and, Fletcher Ave, Indianapolis, IN 46204, United States",4.5,null,"Monday: 8:00 AM – 2:00 PM
Tuesday: 8:00 AM – 2:00 PM
Wednesday: 8:00 AM – 2:00 PM
Thursday: 8:00 AM – 2:00 PM
Friday: 8:00 AM – 2:00 PM
Saturday: Closed
Sunday: Closed",Unknown
Fiesta on The Go,"2719 E 38th St, Indianapolis, IN 46218, United States",4.0,null,"Monday: 4:00 – 10:00 PM
Tuesday: 4:00 – 10:00 PM
Wednesday: 4:00 – 10:00 PM
Thursday: 4:00 – 10:00 PM
Friday: 4:00 – 10:00 PM
Saturday: 4:00 – 10:00 PM
Sunday: Closed",Unknown
Juannita's Mexican Food Truck,"6996 East 21st St, Indianapolis, IN 46219, United States",3.0,http://juannitas.com/,"Monday: 11:00 AM – 11:00 PM
Tuesday: 11:00 AM – 11:00 PM
Wednesday: 11:00 AM – 11:00 PM
Thursday: 11:00 AM – 11:00 PM
Friday: 11:00 AM – 12:00 AM
Saturday: 11:00 AM – 12:00 AM
Sunday: 11:00 AM – 11:00 PM",Mexican
