Name,Address,Rating,Website,Cuisine Type,Monday_Open,Monday_Close,Tuesday_Open,Tuesday_Close,Wednesday_Open,Wednesday_Close,Thursday_Open,Thursday_Close,Friday_Open,Friday_Close,Saturday_Open,Saturday_Close,Sunday_Open,Sunday_Close,Total_Weekly_Hours,Monday_Hours,Tuesday_Hours,Wednesday_Hours,Thursday_Hours,Friday_Hours,Saturday_Hours,Sunday_Hours
Pico de Gallo Food Truck,"3014 Lafayette Rd #3000, Indianapolis, IN 46222, United States",4.5,https://www.facebook.com/peregrino1982/,Unknown,,,,,5:00 PM,1:00 AM,5:00 PM,1:00 AM,5:00 PM,4:00 AM,5:00 PM,4:00 AM,5:00 PM,1:00 AM,46.0,0.0,0.0,8.0,8.0,11.0,11.0,8.0
big Jerry Indy food truck,"8522 Madison Ave, Indianapolis, IN 46227, United States",5.0,,Unknown,11:00 AM,7:00 PM,11:00 AM,7:30 PM,11:00 AM,7:00 AM,10:30 AM,7:30 PM,10:30 AM,7:00 PM,11:00 AM,8:30 PM,,,63.5,8.0,8.5,20.0,9.0,8.5,9.5,0.0
Mi Lindo Pénjamo - Food Truck,"7910 Michigan Rd, Indianapolis, IN 46268, United States",4.5,https://store.kahero.co/milindopenjamo,Unknown,,,7:30 PM,12:00 AM,7:30 PM,12:00 AM,7:30 PM,12:00 AM,7:30 PM,12:00 AM,,,,,18.0,0.0,4.5,4.5,4.5,4.5,0.0,0.0
ClusterTruck,"729 N Pennsylvania St, Indianapolis, IN 46204, United States",4.8,https://downtown-indy.clustertruck.com/menu?utm_source=google%20my%20business&utm_medium=search%20listing,Unknown,8:00 AM,10:00 PM,8:00 AM,10:00 PM,8:00 AM,10:00 PM,8:00 AM,10:00 PM,8:00 AM,11:00 PM,10:00 AM,11:00 PM,10:00 AM,9:00 PM,95.0,14.0,14.0,14.0,14.0,15.0,13.0,11.0
El Buenavista Food Truck,"5210 English Ave, Indianapolis, IN 46219, United States",5.0,,Unknown,1:59 PM,4:59 AM,1:59 PM,4:59 AM,1:59 PM,4:59 AM,1:59 PM,4:59 AM,1:59 PM,4:59 AM,1:59 PM,4:59 AM,1:59 PM,4:59 AM,105.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
The Night Owl Food Truck,"South and, S Meridian St, Indianapolis, IN 46225, United States",5.0,http://mercersnightowl.com/,Unknown,,,,,,,8:30 PM,2:30 AM,8:30 PM,3:30 AM,8:30 PM,3:30 AM,6:00 PM,1:00 AM,27.0,0.0,0.0,0.0,6.0,7.0,7.0,7.0
Super Tacos food truck,"7202 E Washington St, Indianapolis, IN 46219, United States",4.6,,Mexican,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Latin Flavor - Food Truck,"9130 E 38th St, Indianapolis, IN 46235, United States",4.1,http://thelatinflavorindy.com/?utm_source=gmb&utm_medium=referral,Unknown,11:00 AM,10:00 PM,11:00 AM,10:00 PM,11:00 AM,10:00 PM,11:00 AM,11:00 PM,11:00 AM,11:00 PM,11:00 AM,11:00 PM,11:00 AM,10:00 PM,80.0,11.0,11.0,11.0,12.0,12.0,12.0,11.0
El Viejon Food Truck,"3612 W 30th St, Indianapolis, IN 46222, United States",1.0,https://www.elviejonfoodtruckindy.com/,Unknown,,,2:30 PM,1:00 AM,2:30 PM,1:00 AM,2:30 PM,1:00 AM,2:30 PM,4:00 AM,2:30 PM,4:00 AM,2:30 PM,12:00 AM,68.0,0.0,10.5,10.5,10.5,13.5,13.5,9.5
Food truck Mil Amores,"5034 E Raymond St, Indianapolis, IN 46203, United States",4.0,,Unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taco food truck,"5621 N Parker Ave, Indianapolis, IN 46220, United States",0.0,,Mexican,12:00,9:00 PM,12:00,10:00 PM,12:00,10:00 PM,12:00,11:00 PM,12:00 PM,12:00 AM,5:00 PM,12:00 AM,,,19.0,0.0,0.0,0.0,0.0,12.0,7.0,0.0
Dashboard Food Truck & Catering,"299 West Main Street, Greenwood, IN 46142, United States",5.0,http://dashboardfoodtruck.com/,Unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
